,0,1
10,"['https://satbeams.com/images/footprints/9E-Ku-GermanyAB.jpg', 'https://satbeams.com/images/footprints/9E-Ku-GermanyGEB.jpg', 'https://satbeams.com/images/footprints/9E-Ku-GreeceB.jpg', 'https://satbeams.com/images/footprints/9E-Ku-ItalyB.jpg', 'https://satbeams.com/images/footprints/9E-Ku-NordicBalticB.jpg', 'https://satbeams.com/images/footprints/9E-Ku-WidebeamB.jpg']","['Ku-band Germany A beam (active)', 'Ku-band Germany GE beam (active)', 'Ku-band Greece beam (active)', 'Ku-band Italy beam (active)', 'Ku-band Nordic/Eastern Europe beam (active)', 'Ku-band Wide beam (active)']"
11,"['https://satbeams.com/images/footprints/9E-Ka-Spot01.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot02.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot03.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot04.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot05.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot06.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot07.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot08.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot09.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot10.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot11.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot12.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot13.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot14.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot15.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot16.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot17.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot18.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot19.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot20.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot21.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot22.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot23.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot24.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot25.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot26.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot27.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot28.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot29.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot30.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot31.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot32.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot33.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot34.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot35.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot36.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot37.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot38.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot39.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot40.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot41.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot42.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot43.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot44.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot45.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot46.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot47.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot48.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot49.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot50.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot51.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot52.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot53.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot54.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot55.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot56.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot57.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot58.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot59.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot60.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot61.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot62.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot63.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot64.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot65.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot66.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot67.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot68.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot69.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot70.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot71.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot72.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot73.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot74.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot75.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot76.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot77.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot78.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot79.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot80.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot81.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot82.jpg', 'https://satbeams.com/images/footprints/9E-Ka-Spot83.jpg']","['Ka-band Spot 01 (GW5) beam (active)', 'Ka-band Spot 02 (GW7) beam (active)', 'Ka-band Spot 03 (GW8) beam (active)', 'Ka-band Spot 04 (GW4) beam (active)', 'Ka-band Spot 05 (GW5) beam (active)', 'Ka-band Spot 06 (GW8) beam (active)', 'Ka-band Spot 07 (GW7) beam (active)', 'Ka-band Spot 08 (GW1) beam (active)', 'Ka-band Spot 09 (GW7) beam (active)', 'Ka-band Spot 10 (GW5) beam (active)', 'Ka-band Spot 11 (GW7) beam (active)', 'Ka-band Spot 12 (GW6) beam (active)', 'Ka-band Spot 13 (GW8) beam (active)', 'Ka-band Spot 14 (GW6) beam (active)', 'Ka-band Spot 15 (GW4) beam (active)', 'Ka-band Spot 16 (GW8) beam (active)', 'Ka-band Spot 17 (GW5) beam (active)', 'Ka-band Spot 18 (GW3) beam (active)', 'Ka-band Spot 19 (GW7) beam (active)', 'Ka-band Spot 20 (GW3) beam (active)', 'Ka-band Spot 21 (GW1) beam (active)', 'Ka-band Spot 22 (GW7) beam (active)', 'Ka-band Spot 23 (GW3) beam (active)', 'Ka-band Spot 24 (GW4) beam (active)', 'Ka-band Spot 25 (GW7) beam (active)', 'Ka-band Spot 26 (GW2) beam (active)', 'Ka-band Spot 27 (GW3) beam (active)', 'Ka-band Spot 28 (GW4) beam (active)', 'Ka-band Spot 29 (GW8) beam (active)', 'Ka-band Spot 30 (GW6) beam (active)', 'Ka-band Spot 31 (GW5) beam (active)', 'Ka-band Spot 32 (GW2) beam (active)', 'Ka-band Spot 33 (GW7) beam (active)', 'Ka-band Spot 34 (GW5) beam (active)', 'Ka-band Spot 35 (GW1) beam (active)', 'Ka-band Spot 36 (GW8) beam (active)', 'Ka-band Spot 37 (GW6) beam (active)', 'Ka-band Spot 38 (GW1) beam (active)', 'Ka-band Spot 39 (GW6) beam (active)', 'Ka-band Spot 40 (GW7) beam (active)', 'Ka-band Spot 41 (GW2) beam (active)', 'Ka-band Spot 42 (GW1) beam (active)', 'Ka-band Spot 43 (GW8) beam (active)', 'Ka-band Spot 44 (GW6) beam (active)', 'Ka-band Spot 45 (GW8) beam (active)', 'Ka-band Spot 46 (GW6) beam (active)', 'Ka-band Spot 47 (GW2) beam (active)', 'Ka-band Spot 48 (GW5) beam (active)', 'Ka-band Spot 49 (GW4) beam (active)', 'Ka-band Spot 50 (GW7) beam (active)', 'Ka-band Spot 51 (GW5) beam (active)', 'Ka-band Spot 52 (GW3) beam (active)', 'Ka-band Spot 53 (GW4) beam (active)', 'Ka-band Spot 54 (GW3) beam (active)', 'Ka-band Spot 55 (GW7) beam (active)', 'Ka-band Spot 56 (GW5) beam (active)', 'Ka-band Spot 57 (GW7) beam (active)', 'Ka-band Spot 58 (GW3) beam (active)', 'Ka-band Spot 59 (GW8) beam (active)', 'Ka-band Spot 60 (GW2) beam (active)', 'Ka-band Spot 61 (GW1) beam (active)', 'Ka-band Spot 62 (GW6) beam (active)', 'Ka-band Spot 63 (GW5) beam (active)', 'Ka-band Spot 64 (GW2) beam (active)', 'Ka-band Spot 65 (GW4) beam (active)', 'Ka-band Spot 66 (GW1) beam (active)', 'Ka-band Spot 67 (GW7) beam (active)', 'Ka-band Spot 68 (GW3) beam (active)', 'Ka-band Spot 69 (GW8) beam (active)', 'Ka-band Spot 70 (GW8) beam (active)', 'Ka-band Spot 71 (GW6) beam (active)', 'Ka-band Spot 72 (GW5) beam (active)', 'Ka-band Spot 73 (GW4) beam (active)', 'Ka-band Spot 74 (GW8) beam (active)', 'Ka-band Spot 75 (GW2) beam (active)', 'Ka-band Spot 76 (GW1) beam (active)', 'Ka-band Spot 77 (GW4) beam (active)', 'Ka-band Spot 78 (GW1) beam (active)', 'Ka-band Spot 79 (GW1) beam (active)', 'Ka-band Spot 80 (GW3) beam (active)', 'Ka-band Spot 81 (GW3) beam (active)', 'Ka-band Spot 82 (GW4) beam (active)', 'Ka-band Spot 83 (GW3) beam (active)']"
12,"['https://satbeams.com/images/footprints/10E-C-Africa.jpg', 'https://satbeams.com/images/footprints/10E-Ku-Europe.jpg', 'https://satbeams.com/images/footprints/10E-Ku-SAfrica.jpg']","['C-band Global Beam (active)', 'Ku-band Europe Beam (active)', 'Ku-band South Africa Beam (active)']"
13,,
14,[],[]
15,['https://satbeams.com/images/footprints/11E-Ka-HTS.jpg'],['Ka-band Consolidated HTS beam (active)']
16,[],[]
17,[],[]
18,['https://satbeams.com/images/footprints/13E-Ku-8.jpg'],['Ku-band Wide Europe Beam (active)']
19,['https://satbeams.com/images/footprints/13E-Ku-WideE.jpg'],['Ku-band Wide beam (active)']
